category,count
Size and style,396
Sector,98
"Broad market, broad-based",74
"Corporate, broad-based",40
"Government, treasury",32
High dividend yield,28
Precious metals,18
Asset allocation,10
"Government, broad-based",9
"Government, local authority/municipal",9
Pair,7
"Government, inflation-linked",5
"Government, mortgage-backed",5
"Corporate, bank loans",4
"Corporate, preferred",4
"Broad market, asset-backed",3
"Government, non-native currency",3
"Corporate, convertible",2
Structured outcome,2
Broad market,1
